,id,duration,time,protocol_type,service,dmz,ip_source,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,domain_add,ip_country,class
0,4,0,895795200,tcp,http,0,10.9.9.105,SF,232,8153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.2,0.2,0.0,0.0,1.0,0.0,0.0,30,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,0.01,hotmail.com,GB,0
1,5,0,902016000,tcp,http,1,172.27.48.90,SF,199,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,32,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hotmail.com,GB,0
2,13,0,913766400,tcp,http,1,172.23.0.103,SF,287,2251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0.0,0.0,0.0,0.0,1.0,0.0,0.43,8,219,1.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,yahoo.com,GB,0
3,17,0,888364800,tcp,http,1,172.26.160.145,SF,300,13788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0.0,0.11,0.0,0.0,1.0,0.0,0.22,91,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,hotmail.com,GB,0
4,19,0,910656000,tcp,http,1,192.168.155.210,SF,233,616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66,255,1.0,0.0,0.02,0.03,0.0,0.0,0.02,0.0,gmail.com,GB,0
5,20,0,894672000,tcp,http,0,172.30.75.189,SF,343,1178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,157,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,hotmail.com,GB,0
6,23,0,913248000,tcp,http,0,192.168.182.34,SF,253,11905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,87,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,yahoo.com,GB,0
7,28,0,909014400,tcp,http,0,10.206.197.126,SF,227,6588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,22,0.0,0.0,0.0,0.0,1.0,0.0,0.18,43,255,1.0,0.0,0.02,0.14,0.0,0.0,0.56,0.57,yahoo.com,GB,0
8,29,0,903830400,tcp,http,0,10.53.204.165,SF,215,10499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hotmail.com,GB,0
9,30,0,896227200,tcp,http,1,10.18.141.215,SF,241,1400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,33,0.0,0.0,0.03,0.03,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gmail.com,GB,0
